size_rank,year,avg_annual_rent,renter_income,owner_income,total_income,rent_to_income,yoy_rent_growth,yoy_income_growth,growth_gap
30,2024,20549.717037,56214,100828,80028,0.365562262728146,0.0197135523768005,0.0226119226501246,-0.00289837027332412
31,2015,10574.7184218,36791,76579,60502,0.287426773444592,,,
31,2016,10969.58102,37430,79398,61385,0.293069223083088,0.0373402470354182,0.0173683781359572,0.019971868899461
31,2017,11433.3964684,39784,81370,63404,0.287386800432335,0.0422819656971731,0.0628907293614748,-0.0206087636643017
31,2018,11859.8394576,40976,84415,65768,0.289433801679032,0.0372980146694481,0.0299617936859039,0.00733622098354418
31,2019,12316.149365,42815,89403,70215,0.287659683872475,0.0384752179008284,0.0448799297149551,-0.00640471181412674
31,2020,12904.627088,42311,87369,69240,0.304994613410224,0.0477809829647187,-0.0117715753824594,0.0595525583471781
31,2021,13847.263523,45888,93014,73900,0.301762193231346,0.0730463909241174,0.0845406631845147,-0.0114942722603973
31,2022,15194.705828,48832,95437,75280,0.311162881471166,0.0973074790381455,0.0641562064156206,0.0331512726225248
31,2023,16092.207053,51781,101164,79842,0.310774358413318,0.0590667062040868,0.0603907273918742,-0.00132402118778736
31,2024,16901.595748,52470,104079,83785,0.322119225233467,0.0502969351770246,0.0133060388945752,0.0369908962824494
32,2015,10766.6850105,35360,78019,58192,0.304487698260747,,,
32,2016,11189.9530514,37052,80304,60294,0.302006721672244,0.0393127541566616,0.0478506787330317,-0.00853792457637003
32,2017,11729.0223701,39071,84233,63764,0.300197649665993,0.0481744039696892,0.0544909856418007,-0.00631658167211153
32,2018,12358.3413092,40576,84225,64052,0.304572686050868,0.0536548502716032,0.0385196181310947,0.0151352321405085
32,2019,12895.250881,43185,90682,67207,0.298604860043997,0.0434451160043869,0.0642990930599369,-0.02085397705555
32,2020,13511.850209,42292,88385,66715,0.319489506502412,0.0478160009208122,-0.0206784763227973,0.0684944772436095
32,2021,14541.614898,47037,95451,71839,0.309152686140698,0.076211967500505,0.112196160030266,-0.0359841925297608
32,2022,15860.528332,48837,100816,75777,0.324764591027295,0.0906992409887982,0.0382677466675171,0.0524314943212811
32,2023,16670.286747,50155,104003,77390,0.332375371289004,0.0510549458410058,0.0269877347093392,0.0240672111316666
32,2024,17372.13691,52075,109644,82938,0.333598404416707,0.0421018650519799,0.038281327883561,0.00382053716841893
34,2015,10601.9259353,31712,72773,54322,0.334319056991044,,,
34,2016,10869.7717697,34138,75161,56750,0.318406812634015,0.0252638846974195,0.0765010090817356,-0.0512371243843161
34,2017,11225.7427915,35707,77696,59566,0.314384932688268,0.0327487116879755,0.0459605132110844,-0.013211801523109
34,2018,11685.8274241,37099,78850,61022,0.314990361575784,0.040984783024636,0.0389839527263562,0.00200083029827982
34,2019,12164.8125944,38484,81431,62502,0.316100524747947,0.0409885541619566,0.0373325426561363,0.0036560115058203
34,2020,12881.098323,38110,82502,63545,0.337997856809236,0.0588817725749212,-0.00971832449849288,0.0686000970734141
34,2021,14084.09191,44257,86253,70224,0.318234220801229,0.0933921593356664,0.161296247704015,-0.0679040883683483
34,2022,15624.369074,44286,95240,75824,0.352806057760918,0.109362902048826,0.000655263574123867,0.108707638474703
34,2023,16451.494064,51402,99214,77947,0.320055524376483,0.0529381369630081,0.160682834304295,-0.107744697341287
34,2024,17193.619518,51409,101460,80239,0.334447655429983,0.0451099122738012,0.000136181471538072,0.0449737308022631
35,2015,9824.3615448,29126,68000,51049,0.337305553278857,,,
35,2016,10034.275549,30029,69109,52131,0.334152837224017,0.021366681513376,0.0310032273570006,-0.00963654584362465
35,2017,10329.3252604,30241,70845,52489,0.341566921080652,0.0294041866758787,0.00705984215258583,0.0223443445232928
35,2018,10691.9925745,31293,75579,56203,0.341673619483591,0.0351104554225215,0.034787209417678,0.000323246004843479
35,2019,11173.2952645,33565,75846,57228,0.3328853050648,0.0450152473120763,0.0726040967628543,-0.0275888494507781
35,2020,11800.3770861,33133,75505,57263,0.356151784809706,0.056123265943967,-0.0128705496797259,0.0689938156236929
35,2021,12748.50361,36561,81458,62315,0.34869132709718,0.0803471378060303,0.103461805450759,-0.0231146676447288
35,2022,13901.550164,37834,86343,65198,0.367435379922821,0.0904456388980071,0.0348185224692979,0.0556271164287093
